item name, inventory count, location
SO30PM/S/PH, 4, M3
SO30PM/S/PH, 4, M4
SO30PM/S/PH, 4, M5
SO30PM/S/PH, 4, M6
SO30PM/S/PH, 1, M7
SO30TE/S/TH, 4, M8
SO30TE/S/TH, 4, M9
SO30TE/S/TH, 4, M10
SO30TE/S/TH, 4, M11
SO30TE/S/TH, 4, M12
SO30TE/S/TH, 4, M13
DO30PM/S/PH, 4, M15
DO30PM/S/PH, 4, M16
DO30PM/S/PH, 4, M17
DO30PM/S/PH, 4, M18
DO30PM/S/PH, 4, M19
DO30PM/S/PH, 3, M20
DO30TE/S/TH, 4, M21
DO30TE/S/TH, 4, M22
DO30TE/S/TH, 3, H1
DO30TE/S/TH, 3, H2
SO30PE/S/PH, 3, H4
SO30PE/S/PH, 3, H5
SO30PE/S/PH, 3, H6
SO30PE/S/PH, 3, H7
SO30PE/S/PH, 1, H8
SO30TM/S/TH, 3, H9
SO30TM/S/TH, 3, H10
SO30TM/S/TH, 3, H11
SO30TM/S/TH, 3, H12
DO30PE/S/PH, 3, H14
DO30PE/S/PH, 3, H15
DO30PE/S/PH, 3, H16
DO30PE/S/PH, 2, H17
DO30TM/S/TH, 3, H18
DO30TM/S/TH, 3, H19
DO30TM/S/TH, 1, H20
SO30CM/B, 3, H21
SO30CM/B, 1, H22
SO30F/S, 3, I1
SO30U/S, 2, I3
ID-27R, 3, I4
ID-27R, 3, I5
ID-27R, 3, I6
ID-27R, 3, I7
ID-27R, 3, I8
ID-27R, 1, I9
MD30TE/S, 4, I10
MD30TE/S, 4, I11
MD30TE/S, 4, I12
MD30TE/S, 4, I13
MD30TE/S, 3, I14
ID-24R, 4, I15
ID-24R, 4, I16
ID-24R, 4, I17
ID-24R, 4, I18
ID-24R, 4, I19
ID-24R, 4, I20
ID-24R, 4, I21
ID-24FI, 4
ID-24F, 3
IC-30R-RH, 10
IC-30RID-RH, 8
IW-30-RH, 8
IC-30FI-LH, 7
IT-30CI-LH, 6
IW-30R-LH, 5
BI-30U/S/TH-LH, 4
IT-30CIID-LH, 4
IT-30CI-RH, 4
IW-30-LH, 4
IW-30R-RH, 4
BI-30U/O-LH, 3
BI-30U/O-RH, 3
BI-30U/S/PH-RH, 3
BI-30U/S/TH-RH, 3
IC-30FI-RH, 3
IC-30R-LH, 3
IT-30FI-LH, 3
BI-30UG/O-RH, 2
IC-30RID-LH, 2
IT-30CIID-RH, 2
BI-30U/S/PH-LH, 1
BI-30UG/S/PH-LH, 1
BI-30UG/S/PH-RH, 1
IT-30RID-LH, 1
IT-30RID-RH, 1
IT-30R-LH, 1
IT-30R-RH, 1
MS24, 23
IC-24FI-LH, 10
IC-24R-RH, 4
IW-24-LH, 4
IW-24-RH, 3
IC-24FI-RH, 2
IC-24R-LH, 1
MD30PE/S, 8
SRT366, 24
SRT366-LP, 18
SRT486G, 6
SRT486G-LP, 5
UC-24R-RH, 16
UC-24BG/O-RH, 15
UC-24R-LH, 15
UC-24BG/O-LH, 12
UC-24BG/S/TH-RH, 12
UC-24BG/S/TH-LH, 8
UC-24CI-RH, 8
UC-24BG/S/PH-RH, 6
UC-24CI-LH, 6
UW-24/O-LH, 5
UW-24/O-RH, 5
UC-24BG/S/PH-LH, 4
UC-24RO/PH-RH, 3
UC-24RO/PH-LH, 2
UW-24/S/PH-RH, 2
UW-24/S/TH-RH, 2
UC-24C-LH, 1
UC-24C-RH, 1
UW-24/S/PH-LH, 1
UW-24/S/TH-LH, 1
UW-24FS/S/TH-RH, 1
IC-18FI-LH, 9
IW-18-LH, 3
IC-18FI-RH, 2
IW-18-RH, 2
MD24TE/S, 49
MC24, 20
UC-15IP, 21
UC-15I, 15
